
time;gfx;gFy;gFz;Bx;By;Bz;
3,3010;0,0117;-0,0938;0,9850;14,2500;-0,5000;35,7500;
3,3170;0,0117;-0,0938;0,9850;14,2500;-0,5000;35,7500;
3,3180;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3330;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3410;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3520;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3620;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3720;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,3860;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4080;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4280;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4460;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4690;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4860;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4930;0,0117;-0,0938;0,9850;13,5000;0,5000;36,2500;
3,4980;0,0078;-0,1075;0,9890;13,5000;0,5000;36,2500;
3,4980;0,0078;-0,1075;0,9890;13,5000;0,5000;36,2500;
3,5140;0,0078;-0,1075;0,9890;13,5000;0,5000;36,2500;
3,5180;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5310;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5470;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5610;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5750;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5810;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,5930;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6120;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6230;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6360;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6540;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6660;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6860;0,0078;-0,1075;0,9890;13,5000;0,0000;36,2500;
3,6980;0,0098;-0,0880;0,9890;13,5000;0,0000;36,2500;
3,6990;0,0098;-0,0880;0,9890;13,5000;0,0000;36,2500;
3,7110;0,0098;-0,0880;0,9890;13,5000;0,0000;36,2500;
3,7210;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7320;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7480;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7600;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7700;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7810;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,7920;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
3,8010;0,0098;-0,0880;0,9890;13,7500;-1,2500;36,0000;
