time;x;y;z;MF
24,901;-43,00;-6,25;-66,25;79,23
24,952;-43,00;-5,25;-66,75;79,57
25,003;-43,50;-5,50;-66,25;79,45
25,102;-43,00;-5,75;-66,50;79,40
25,204;-42,50;-6,00;-66,75;79,36
25,253;-40,75;-6,50;-66,50;78,26
25,303;-38,25;-8,50;-66,50;77,19
25,352;-31,25;-14,50;-67,75;76,01
25,404;1,25;-36,50;-81,50;89,31
25,453;253,50;11,00;-381,75;458,38
25,508;127,00;31,75;-25,75;133,42
25,553;48,50;-9,75;11,25;50,73
25,605;2,25;-19,50;-16,00;25,32
25,653;-21,00;-16,50;-40,25;48,30
25,704;-33,00;-12,75;-53,75;64,35
25,753;-39,00;-10,25;-60,00;72,29
25,804;-41,00;-8,50;-63,75;76,27
25,853;-42,00;-7,75;-64,50;77,36
25,903;-43,00;-6,75;-65,25;78,44
25,954;-44,25;-6,50;-66,00;79,73
26,004;-44,00;-6,00;-65,75;79,34
26,054;-44,00;-6,00;-66,00;79,55
26,104;-43,75;-5,75;-66,25;79,60
26,205;-43,25;-5,25;-66,00;79,08
26,304;-43,75;-6,00;-66,00;79,41
26,353;-43,50;-6,00;-66,00;79,27
26,404;-43,25;-7,00;-65,50;78,80
26,454;-42,25;-7,75;-65,25;78,12
26,503;-42,50;-9,25;-64,00;77,38
26,553;-40,25;-12,50;-61,00;74,14
26,605;-35,75;-22,00;-50,75;65,86
26,655;-24,00;-54,50;18,75;62,43
26,706;-108,75;347,25;88,50;374,49
26,806;64,00;36,00;-89,75;115,96
26,905;-11,75;-7,75;-73,50;74,84
26,956;-27,75;-8,75;-69,50;75,35
27,013;-35,75;-7,50;-67,25;76,53
27,060;-39,75;-6,75;-67,00;78,20
27,119;-41,50;-5,50;-66,75;78,79
27,210;-43,50;-5,75;-67,00;80,09
27,260;-43,25;-5,00;-66,75;79,69
27,317;-43,25;-4,25;-66,75;79,65
27,368;-43,00;-4,50;-67,00;79,74
27,418;-43,00;-4,75;-66,75;79,54
27,469;-43,00;-5,00;-67,00;79,77
27,518;-42,25;-5,50;-66,50;78,98
27,568;-42,25;-6,00;-66,00;78,59
27,620;-43,00;-6,50;-66,50;79,46
27,669;-42,50;-7,00;-67,00;79,65
27,720;-41,25;-8,50;-66,50;78,72
27,769;-39,50;-11,50;-66,50;78,20
27,820;-34,25;-18,00;-68,00;78,24
27,870;-16,25;-41,00;-78,25;89,82
27,920;102,00;-129,75;-237,75;289,42
27,969;-166,50;347,25;-82,25;393,79
28,021;-140,00;169,75;4,00;220,07
28,120;-61,75;10,25;-34,25;71,35
28,169;-61,75;10,25;-34,25;71,35
28,220;-50,50;-2,75;-50,25;71,29
28,269;-46,25;-6,00;-58,75;75,01
28,320;-44,50;-6,00;-62,00;76,55
28,369;-44,25;-6,75;-63,75;77,90
28,420;-43,25;-6,25;-65,25;78,53
28,470;-43,25;-6,00;-66,00;79,14
28,520;-43,25;-5,75;-65,25;78,49
28,569;-43,50;-5,50;-65,75;79,03
28,620;-43,50;-5,00;-65,75;79,00
28,720;-42,50;-6,50;-66,25;78,98
28,769;-42,50;-6,25;-66,50;79,17
28,820;-43,25;-6,50;-66,00;79,18
28,869;-42,75;-6,75;-65,25;78,30
28,919;-42,25;-7,25;-64,50;77,45
28,969;-42,00;-8,25;-63,75;76,79
29,021;-39,50;-11,00;-61,25;73,71
29,070;-34,75;-17,75;-53,50;66,22
29,121;-23,25;-39,75;-15,25;48,51
29,222;254,25;28,50;-318,50;408,53
29,272;187,25;-23,00;-241,25;306,26
29,322;83,25;-32,00;-153,00;177,10
29,371;19,00;-25,50;-104,75;109,47
29,422;-14,00;-18,25;-82,50;85,65
29,471;-29,75;-13,25;-73,75;80,62
29,522;-37,50;-9,75;-69,00;79,13
29,571;-40,50;-8,00;-67,50;79,12
29,623;-41,75;-7,50;-66,50;78,88
29,672;-43,00;-6,75;-67,00;79,90
29,724;-43,00;-5,75;-66,75;79,61
29,772;-43,25;-6,25;-67,25;80,20
29,824;-43,25;-5,75;-67,00;79,95
29,872;-43,50;-5,50;-67,00;80,07
29,922;-43,25;-6,50;-67,00;80,01
29,973;-43,00;-6,00;-67,00;79,84
30,025;-43,00;-6,75;-67,25;80,11
30,124;-42,00;-7,75;-66,50;79,03
30,226;-40,50;-10,50;-66,75;78,78
30,325;-24,75;-27,25;-71,25;80,20
30,398;28,75;-68,25;-110,00;132,61
30,425;264,75;65,00;-486,50;557,67
30,491;100,00;56,75;-96,25;149,95
30,525;31,50;-4,75;-16,00;35,65
30,574;-3,75;-20,75;-25,25;32,90
30,627;-23,25;-19,75;-42,25;52,11
30,675;-32,50;-14,75;-53,50;64,31
30,724;-38,25;-11,25;-59,25;71,42
30,774;-41,00;-9,25;-62,75;75,53
30,834;-42,00;-8,00;-64,25;77,18
30,924;-43,00;-6,50;-65,50;78,62
30,975;-43,50;-6,00;-66,00;79,27
31,033;-43,00;-6,25;-66,25;79,23
31,125;-42,50;-6,25;-65,75;78,54
31,174;-42,50;-6,25;-65,75;78,54
31,228;-42,75;-6,50;-66,50;79,32
31,276;-42,75;-6,25;-66,00;78,88
31,329;-42,50;-6,75;-65,75;78,58
31,378;-42,75;-7,25;-65,25;78,34
31,432;-42,50;-8,75;-64,00;77,32
31,479;-42,25;-12,00;-62,00;75,98
31,531;-40,75;-18,50;-56,25;71,88
31,578;-37,75;-36,25;-34,75;62,82
31,635;-58,00;-71,00;99,75;135,48
31,729;42,00;152,25;-407,75;437,27
31,779;37,75;25,00;-248,75;252,84
31,831;6,00;-10,50;-150,25;150,74
31,879;-17,25;-15,75;-103,25;105,86
31,930;-29,50;-13,75;-82,25;88,46
31,979;-36,00;-11,00;-73,00;82,13
32,030;-39,00;-9,25;-69,00;79,80
32,079;-40,75;-7,75;-67,75;79,44
32,131;-41,50;-7,00;-67,00;79,12
32,179;-41,50;-7,00;-67,00;79,12
32,230;-42,75;-6,50;-67,00;79,74
32,280;-43,00;-5,75;-67,25;80,03
32,330;-43,00;-5,75;-67,00;79,82
32,379;-43,00;-6,00;-67,00;79,84
32,431;-43,00;-6,50;-66,75;79,67
32,530;-42,50;-6,00;-67,50;79,99
32,581;-41,50;-6,50;-67,25;79,29
32,641;-41,25;-7,75;-67,25;79,27
32,736;-36,00;-12,75;-67,00;77,12
32,786;-26,00;-20,50;-69,50;76,98
32,837;9,50;-46,25;-87,50;99,43
32,936;-9,00;294,25;47,50;298,20
32,987;-33,75;132,25;97,75;167,88
33,038;-34,00;34,25;39,75;62,52
33,088;-35,75;-1,00;-10,25;37,20
33,137;-37,75;-10,75;-38,25;54,81
33,188;-37,75;-10,75;-38,25;54,81
33,239;-40,50;-10,75;-53,00;67,56
33,288;-42,25;-9,50;-60,25;74,20
33,338;-42,50;-8,00;-62,75;76,21
33,389;-42,75;-7,25;-64,75;77,93
33,440;-43,25;-6,75;-65,50;78,78
33,539;-43,25;-7,00;-65,75;79,01
33,588;-43,25;-6,50;-65,25;78,55
33,642;-43,25;-6,75;-65,25;78,57
33,739;-42,50;-6,75;-65,00;77,95
33,788;-42,50;-7,50;-65,00;78,02
33,841;-43,00;-8,00;-64,50;77,93
33,940;-40,75;-11,50;-61,50;74,67
33,989;-38,00;-16,75;-56,50;70,12
34,042;-32,25;-29,25;-40,50;59,46
34,089;-20,50;-61,50;51,50;82,79
34,142;-99,00;242,75;214,75;338,89
34,244;-24,25;108,50;72,50;132,73
34,293;-12,25;30,00;-8,25;33,44
34,343;-20,00;0,25;-43,50;47,88
34,392;-28,75;-8,50;-58,00;65,29
34,448;-34,50;-9,75;-63,25;72,70
34,493;-38,25;-8,50;-65,50;76,33
34,549;-40,75;-8,00;-66,25;78,19
